file,index,novelty,split
route_6_route_episode_0136.npz,0,9.612087887944654e-05,validation data(straight route)
route_6_route_episode_0136.npz,1,9.612714347895235e-05,validation data(straight route)
route_6_route_episode_0136.npz,2,9.606820094631985e-05,validation data(straight route)
route_6_route_episode_0136.npz,3,9.615470480639488e-05,validation data(straight route)
route_6_route_episode_0136.npz,4,9.619066986488178e-05,validation data(straight route)
route_6_route_episode_0136.npz,5,9.62655758485198e-05,validation data(straight route)
route_6_route_episode_0136.npz,6,9.633479203330353e-05,validation data(straight route)
route_6_route_episode_0136.npz,7,9.631900320528075e-05,validation data(straight route)
route_6_route_episode_0136.npz,8,9.631542343413457e-05,validation data(straight route)
route_6_route_episode_0136.npz,9,9.637914627091959e-05,validation data(straight route)
route_6_route_episode_0136.npz,10,9.649663115851581e-05,validation data(straight route)
route_6_route_episode_0136.npz,11,9.668328857515007e-05,validation data(straight route)
route_6_route_episode_0136.npz,12,9.671262523625046e-05,validation data(straight route)
route_6_route_episode_0136.npz,13,9.665983088780195e-05,validation data(straight route)
route_6_route_episode_0136.npz,14,9.66232328210026e-05,validation data(straight route)
route_6_route_episode_0136.npz,15,9.651563595980406e-05,validation data(straight route)
route_6_route_episode_0136.npz,16,9.63856145972386e-05,validation data(straight route)
route_6_route_episode_0136.npz,17,9.634931484470144e-05,validation data(straight route)
route_6_route_episode_0136.npz,18,9.645578393246979e-05,validation data(straight route)
route_6_route_episode_0136.npz,19,9.64623031904921e-05,validation data(straight route)
route_6_route_episode_0136.npz,20,9.649094135966152e-05,validation data(straight route)
route_6_route_episode_0136.npz,21,9.649880666984245e-05,validation data(straight route)
route_6_route_episode_0136.npz,22,9.650116408010945e-05,validation data(straight route)
route_6_route_episode_0136.npz,23,9.651498112361878e-05,validation data(straight route)
route_6_route_episode_0136.npz,24,9.640876669436693e-05,validation data(straight route)
route_6_route_episode_0136.npz,25,9.637984476285055e-05,validation data(straight route)
route_6_route_episode_0136.npz,26,9.637116454541683e-05,validation data(straight route)
route_6_route_episode_0136.npz,27,9.636857430450618e-05,validation data(straight route)
route_6_route_episode_0136.npz,28,9.636777394916862e-05,validation data(straight route)
route_6_route_episode_0136.npz,29,9.636754839448258e-05,validation data(straight route)
route_6_route_episode_0136.npz,30,9.636748291086406e-05,validation data(straight route)
route_6_route_episode_0136.npz,31,9.63544225669466e-05,validation data(straight route)
route_6_route_episode_0136.npz,32,9.635087189963087e-05,validation data(straight route)
route_6_route_episode_0136.npz,33,9.634979505790398e-05,validation data(straight route)
route_6_route_episode_0136.npz,34,9.634948219172657e-05,validation data(straight route)
route_6_route_episode_0136.npz,35,9.634938032831997e-05,validation data(straight route)
route_6_route_episode_0136.npz,36,9.634936577640474e-05,validation data(straight route)
route_6_route_episode_0136.npz,37,9.634935850044712e-05,validation data(straight route)
route_6_route_episode_0136.npz,38,9.634936577640474e-05,validation data(straight route)
route_6_route_episode_0136.npz,39,9.634936577640474e-05,validation data(straight route)
route_6_route_episode_0136.npz,40,9.634936577640474e-05,validation data(straight route)
route_6_route_episode_0136.npz,41,9.634936577640474e-05,validation data(straight route)
route_6_route_episode_0136.npz,42,9.634936577640474e-05,validation data(straight route)
route_6_route_episode_0136.npz,43,9.634936577640474e-05,validation data(straight route)
route_6_route_episode_0136.npz,44,9.634936577640474e-05,validation data(straight route)
route_6_route_episode_0136.npz,45,9.634936577640474e-05,validation data(straight route)
route_6_route_episode_0136.npz,46,9.634936577640474e-05,validation data(straight route)
route_6_route_episode_0136.npz,47,9.634936577640474e-05,validation data(straight route)
route_6_route_episode_0136.npz,48,9.634936577640474e-05,validation data(straight route)
route_6_route_episode_0136.npz,49,9.634936577640474e-05,validation data(straight route)
route_6_route_episode_0136.npz,50,9.634936577640474e-05,validation data(straight route)
route_6_route_episode_0136.npz,51,9.65972722042352e-05,validation data(straight route)
route_6_route_episode_0136.npz,52,9.524753113510087e-05,validation data(straight route)
route_6_route_episode_0136.npz,53,9.274220064980909e-05,validation data(straight route)
route_6_route_episode_0136.npz,54,8.83989196154289e-05,validation data(straight route)
route_6_route_episode_0136.npz,55,8.416662603849545e-05,validation data(straight route)
route_6_route_episode_0136.npz,56,8.021134999580681e-05,validation data(straight route)
route_6_route_episode_0136.npz,57,7.590491441078484e-05,validation data(straight route)
route_6_route_episode_0136.npz,58,7.096343324519694e-05,validation data(straight route)
route_6_route_episode_0136.npz,59,6.736479554092512e-05,validation data(straight route)
route_6_route_episode_0136.npz,60,6.06136309215799e-05,validation data(straight route)
route_6_route_episode_0136.npz,61,5.9538033383432776e-05,validation data(straight route)
route_6_route_episode_0136.npz,62,5.808822243125178e-05,validation data(straight route)
route_6_route_episode_0136.npz,63,5.780455467174761e-05,validation data(straight route)
route_6_route_episode_0136.npz,64,5.7522283896105364e-05,validation data(straight route)
route_6_route_episode_0136.npz,65,5.778181366622448e-05,validation data(straight route)
route_6_route_episode_0136.npz,66,5.860818055225536e-05,validation data(straight route)
route_6_route_episode_0136.npz,67,5.770137067884207e-05,validation data(straight route)
